OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2020-01-01T06:11:10.983264,15.49530329,.0005055,51.6446,99.4171,90.7711,3.7257,0,U,25544,999,20598,.34254E-4,.1469E-4,0
ISS (ZARYA),1998-067A,2020-01-01T12:23:48.583392,15.49528784,.0005144,51.6442,98.1370,91.7041,7.2280,0,U,25544,999,20602,.23811E-4,.882E-5,0
ISS (ZARYA),1998-067A,2020-01-01T14:05:26.578752,15.49530004,.0005337,51.6440,97.7889,92.2059,40.6973,0,U,25544,999,20603,.29727E-4,.1214E-4,0
ISS (ZARYA),1998-067A,2020-01-01T17:17:49.889184,15.49530653,.0005339,51.6443,97.1279,92.8411,65.8338,0,U,25544,999,20605,.31165E-4,.1295E-4,0
ISS (ZARYA),1998-067A,2020-01-01T18:47:02.666400,15.49530463,.0005179,51.6444,96.8194,92.6004,51.8986,0,U,25544,999,20606,.27562E-4,.1093E-4,0
ISS (ZARYA),1998-067A,2020-01-01T23:32:58.157952,15.49530464,.0005118,51.6446,95.8365,92.1286,80.7221,0,U,25544,999,20609,.25131E-4,.956E-5,0
ISS (ZARYA),1998-067A,2020-01-02T05:23:19.891392,15.49532077,.0005118,51.6446,94.6316,93.0259,357.9673,0,U,25544,999,20613,.28009E-4,.1118E-4,0
ISS (ZARYA),1998-067A,2020-01-02T08:34:21.432000,15.49525885,.0005118,51.6446,93.9746,93.5145,17.9545,0,U,25544,999,20615,-.13346E-4,-.1204E-4,0
ISS (ZARYA),1998-067A,2020-01-02T13:21:04.146336,15.49528340,.0005246,51.6450,92.9926,93.7494,49.1252,0,U,25544,999,20618,.17542E-5,-.357E-5,0
ISS (ZARYA),1998-067A,2020-01-02T16:29:38.599584,15.49528879,.0005242,51.6450,92.3441,93.9407,59.9202,0,U,25544,999,20620,.45543E-5,-.199E-5,0
ISS (ZARYA),1998-067A,2020-01-02T18:00:09.107424,15.49528989,.0005242,51.6450,92.0329,94.1284,50.5779,0,U,25544,999,20621,.49678E-5,-.176E-5,0
